Designator,Mid X,Mid Y,Rotation,Layer
C1,270.75,-219.5,-90,top
C2,275.25,-220.25,-90,top
C3,288.4,-185.7,180,top
C4,292.2,-185.8,0,top
C5,306.751992,-174.348008,-135,top
C6,308.2,-194.4,180,top
C7,294.7,-197.1,0,top
C8,271.05,-203.35,180,top
C9,271.2,-206.05,180,top
C10,286.25,-209,-90,top
C11,292.6,-195.5,0,top
C12,299.9,-197.325,90,top
C13,290.7,-178.3,45,top
C14,285.15,-201.95,0,top
C15,315.7,-184.8,135,top
C16,309.3,-197.1,-45,top
C17,298.1,-197.65,-90,top
C18,299.775,-175.4,180,top
C19,314.1,-181,180,top
C20,302,-172.8,-90,top
C21,291.2,-180.6,0,top
C22,303,-194.5,0,top
C33,317.35,-182.4,0,top
C34,303.842118,-198.75,180,top
C35,273.25,-214,0,top
C36,284,-213.75,-90,top
C37,303.15,-168.6,45,top
C38,306.351992,-168.851992,135,top
C39,297.8,-173.175,90,top
C40,299.7,-169.6,180,top
C41,288.4,-188.575,90,top
C42,289,-175.95,0,top
C43,272.65,-207.95,0,top
C44,257.3,-176.3,0,top
C45,265.725,-182.5,0,top
C46,293,-177.125,90,top
C47,291.8,-188.8,90,top
C48,291.4,-191.6,0,top
C49,291.4,-193.6,0,top
C50,291.1,-182.4,180,top
C51,312.0375,-171.9125,0,top
C52,316,-177.3,0,top
C53,312.0375,-173.9125,0,top
C54,309.4375,-174.1125,-90,top
C55,314.4,-179.5,180,top
D1,277.5475,-221.63,0,top
D2,268.4,-194.8,-90,top
D3,254.2,-193.2,-90,top
D4,258,-212.2,90,top
D5,258.6,-193.8,-90,top
D6,255.2,-212.2,90,top
D7,261.3,-193.75,-90,top
F1,269,-215,0,top
J1,263.98,-221.325,0,top
J2,258.525,-202.835,90,top
J3,314,-208.21,0,top
J4,289.5,-172.36,180,top
J5,271.66,-176.72,180,top
J6,303.5,-221.8,-90,top
J7,309.01,-215.83,180,top
L1,289.5,-202.15,-90,top
L2,289.5,-206.75,-90,top
L3,289.5,-211.325,-90,top
R1,262.75,-214.5,90,top
R2,265.75,-214.5,90,top
R3,277.5475,-219.95,0,top
R4,285.725,-205.8,180,top
R5,282.075,-205.8,180,top
R6,283.75,-209,-90,top
R7,281,-209.75,180,top
R8,281.75,-212.5,-90,top
R9,281.75,-215.525,-90,top
R10,290,-188.6,90,top
R11,276.5,-169.4,-90,top
R12,258.1,-168.375,-90,top
R13,295.3,-174.575,-90,top
R14,266.4,-195.2,90,top
R15,252.3,-192.225,90,top
R16,260,-211.625,-90,top
R17,256.6,-194.2,90,top
R18,253.2,-211.625,-90,top
R19,264,-195.15,0,top
R20,312.775,-177.9,180,top
R21,312.775,-176.4,0,top
R22,308.316637,-171.583363,45,top
SW1,282,-181.75,-90,top
U1,302.3997,-184.8004,0,top
U2,272.75,-217.25,180,top
U3,277.3875,-203.025,0,top
U4,277.3875,-207.025,0,top
U5,278.6375,-217.45,0,top
U6,276,-211.25,0,top
U7,269.75,-211.1375,-90,top
U8,296.4,-169.6,90,top
Y2,300,-172.4,90,top
Y3,304.9,-170.95,135,top
